reward,avg_reward_100,steps
-1292.8343633538825,-1244.9332888844617,200
-1120.911928836803,-1247.3610081820548,200
-974.1023057724968,-1248.1753055079168,200
-1664.1913189696309,-1253.1428179734241,200
-1018.273962945486,-1246.0828741399012,200
-1152.7963659983998,-1248.9952862265172,200
-1142.7004475089393,-1244.982966450559,200
-940.943970235826,-1245.8491266645797,200
-1032.6428983578303,-1241.8743899792116,200
-1065.6321466231711,-1235.1899609161485,200
-1077.0708977759518,-1228.3610980456176,200
-1513.3141327708272,-1230.6534309027568,200
-1257.6005158004102,-1234.5760419197284,200
-1419.4870664522157,-1235.1372934933952,200
-1409.5921771433686,-1236.5323349055864,200
-1009.9637515185639,-1238.1681894565388,200
-1187.353621170871,-1235.8029518635835,200
-967.7186987038083,-1228.724486983908,200
-1662.8092638809067,-1230.827461269905,200
-749.0956511264171,-1228.5097011703638,200
-1295.8687910929546,-1229.2674089742968,200
-1430.8732796016861,-1233.8579094153959,200
-857.5714936530984,-1228.319653281162,200
-1682.7070037354686,-1234.7042101497805,200
-1193.1058365157476,-1235.0434321671562,200
-985.8203705386654,-1235.156216885317,200
-1340.8778289398188,-1236.4011047778376,200
-1553.4548728324796,-1242.2923509126877,200
-1189.9500828211437,-1237.1931683240978,200
-1596.3475819114005,-1236.502256713756,200
-892.2620162909326,-1230.5099909566163,200
-1208.5620774154104,-1232.0381388231367,200
-1446.8662765948734,-1231.1836938853273,200
-1604.453049020936,-1237.2043030347802,200
-1072.238424476201,-1238.0856063177582,200
-957.8866370069474,-1232.6440683968076,200
-886.6374250928748,-1233.9864049369453,200
-964.5868624641182,-1229.0812013722204,200
-1283.0363986122452,-1229.4375651361377,200
-1009.8793257948786,-1223.762110683717,200
-1599.2071378405217,-1227.5193854737427,200
-1177.7229088781323,-1222.7784030211246,200
-1672.2311371307887,-1228.9638136615486,200
-1143.0589422338533,-1229.142393863589,200
-807.2345489598159,-1225.477444206095,200
-1264.227024888234,-1227.374914529765,200
-1467.4833889161646,-1233.4754226076607,200
-1084.5815463002857,-1230.8063747721528,200
-1003.6340809691383,-1227.1498055059803,200
-1705.5523536708508,-1229.0937075135064,200
-1694.0247648752754,-1231.2219184768405,200
-1163.922205582568,-1232.6755192336668,200
