,reward,avg_reward_100,steps
169,-122.81347588644849,-179.4446157580226,200
170,-234.90440926790967,-180.53627452114503,200
171,-1.1323171645314751,-178.12616216206632,200
172,-2.0652856219798656,-176.90335578114676,200
173,-407.6907020852723,-179.6831021733202,200
174,-120.48706791569212,-179.619089603258,200
175,-129.5754459722001,-179.70349941880664,200
176,-0.8192400625613147,-177.25473199939904,200
177,-360.51870700974564,-179.60118027944034,200
178,-267.1568403371299,-178.7250782038206,200
179,-119.01302107141133,-179.88953328655654,200
180,-121.7762406580839,-179.92651991785766,200
181,-122.09719215473554,-179.90565745753406,200
182,-236.57375910131717,-182.25623313670127,200
183,-240.31294922997768,-184.6450592784739,200
184,-125.5109015297449,-184.75567978314734,200
185,-241.880150600385,-184.7592635780097,200
186,-126.69985263776293,-184.8558973893541,200
187,-319.4598938677582,-185.74945069215966,200
188,-375.36611826723106,-187.0745642830084,200
189,-256.4919180761174,-189.61042074662447,200
190,-122.58445033093639,-188.43691087729923,200
191,-358.5000950192398,-192.0045332134213,200
192,-1.134691242636862,-191.97369443347213,200
193,-131.0711138316787,-190.90864176094067,200
194,-0.7816012675205877,-186.131445684721,200
195,-124.23568144363375,-185.0706865557813,200
196,-407.2606424254099,-187.86602171310147,200
197,-261.82242389774177,-185.43843452893793,200
198,-358.39819396052945,-186.6380093547575,200
199,-114.9164507180915,-185.44561438545136,200
