reward,avg_reward_100,steps
-122.62540465331409,-501.004192089305,200
-129.52461306765625,-492.43716883803756,200
-541.655628497383,-487.46902425723766,200
-501.80053083905113,-480.8230006791605,200
-124.8488494508709,-472.0187945073342,200
-123.56536559923804,-464.5077936825115,200
-124.76650324374938,-453.7422164037214,200
-126.160182207122,-443.14480019863726,200
-246.82740701581255,-435.14283698089423,200
-383.5686923001418,-428.45198726941817,200
-237.76019785755892,-421.9614796636501,200
-125.13142794783138,-412.2945342059827,200
-0.9312539406147007,-403.3474099480617,200
-0.7857733863432249,-395.1128635460336,200
-0.8638816618494154,-385.8521888670504,200
-351.41582034666425,-379.56704236693025,200
-124.40060381393715,-370.71320195848244,200
-123.23524222101126,-361.2459772910412,200
-250.22772833001738,-355.1465201945119,200
-119.41995713065803,-348.6443658509095,200
-128.39044909010173,-341.1790529148366,200
-246.65723238462232,-336.4302646706321,200
-124.1864068600257,-329.0087536993353,200
-120.50144760110919,-321.54898812155255,200
-121.20040387600231,-315.3294719927408,200
-239.69179772977154,-307.5453129003067,200
-234.0283308820934,-302.45691627000997,200
-239.71690620393755,-296.17345009779393,200
-127.99346265147155,-290.0452026855956,200
-124.57316456388902,-283.66630731378064,200
-1.0096381263218195,-277.3168637875706,200
-128.14707927995119,-269.9726925190464,200
-122.2783039147868,-266.25553376800696,200
-333.7314206723146,-262.0504210621546,200
-240.82236540872952,-258.0808044330347,200
-121.04853771122026,-251.5784613522658,200
-124.28357235004215,-242.4562517390798,200
-261.1702684804971,-236.5777667696852,200
-128.26766386160094,-232.49891959471432,200
-121.48262925823,-227.66364356584228,200
-123.6281619929652,-226.31389483013646,200
-255.05394731511743,-226.27794777252998,200
-123.43196866180133,-218.85791519584598,200
-124.80444295520024,-211.23919819470098,200
-128.79282660439856,-208.72470298414737,200
-117.08323572437996,-204.7854412028681,200
-385.75912825433124,-203.58273594679468,200
-250.5137100064958,-202.31958032931092,200
-125.60754155290432,-201.00410292980624,200
-247.15144246680694,-199.71862253239829,200
-121.94283825725711,-198.4704715789775,200
-249.34093276906862,-199.6729928704349,200
-315.1579576490713,-200.36445891523002,200
-125.90684461094591,-199.1835748926971,200
-234.8330647070451,-197.7002929513324,200
-254.80556117339515,-193.91870957206672,200
-121.51213508248091,-193.9112427562353,200
-127.60271232562896,-189.99825778187858,200
-123.7944428092474,-187.5906716913505,200
-128.0500906342643,-187.58056507190878,200
-2.133973403143133,-185.11891799589273,200
-124.92916489432554,-182.49521405690732,200
-124.32520028370435,-179.85657779271517,200
-402.5110512089622,-182.6119280447482,200
-224.00533933201623,-179.96948819691482,200
-247.48341121192158,-178.52892220425278,200
-1.2544720485618008,-177.2871410915026,200
-253.38706550095384,-178.59227395136932,200
-119.54455959321795,-178.47865304010472,200
-123.3379292471666,-176.60895666784953,200
-115.7493263604566,-175.24825637679248,200
-124.11442483131911,-172.7133669130225,200
-126.35273503894093,-168.15737793726555,200
-125.51998083366941,-168.1233457893057,200
-2.535977992644832,-166.8782360465618,200
-277.16615851407806,-168.4106575008154,200
-0.9164125609077028,-164.24697039456674,200
-0.5792217385698679,-162.9506605811644,200
-495.2449406998643,-166.65557050838376,200
