,reward,avg_reward_100,steps
134,-101.93672161787677,-333.14600032779737,200
135,-214.70759371059597,-328.05444570203906,200
136,-104.88255040945198,-321.8244182771472,200
137,-437.0529064999721,-320.0843146667782,200
138,-101.84084051441245,-314.46401298518856,200
139,-239.67051110066012,-310.7419311801801,200
140,-108.40760473701512,-305.74769575856374,200
141,-222.0031249627499,-301.8473408846513,200
142,-103.45360826080368,-296.1018049612446,200
143,-219.86190807966477,-292.25499684748337,200
144,-111.06275533282883,-286.2040839296809,200
145,-94.15951855341396,-281.1309511917151,200
146,-338.19636482200815,-277.2639231600822,200
147,19.267516120112113,-271.35309775916835,200
148,-96.83088553934213,-266.1986805955915,200
149,-206.7103885881591,-262.0960940806317,200
150,-103.23309253804001,-258.15828276621033,200
151,17.44782322372596,-253.08301759905913,200
152,-108.54183766494201,-249.24887234332778,200
153,-230.393601933007,-247.95223554889003,200
154,19.634326257109343,-243.03813581247348,200
155,-516.5727285003808,-243.51077389752106,200
156,-108.79983566489082,-239.84641996164908,200
157,-665.6517027652228,-242.11902655365992,200
158,-803.2204864289738,-246.56160897691564,200
159,-97.05915654697307,-245.13298501747306,200
160,-102.06982690963787,-243.84299274113945,200
161,19.254962147413664,-242.59178853249986,200
162,-103.77754807656541,-242.54086682175566,200
163,-101.13439519003731,-237.477706587671,200
164,-235.1540188661144,-235.25569858239567,200
165,-329.42893203402997,-237.51913992953848,200
166,-222.2973387576708,-238.73104471163006,200
167,-221.2194199454719,-237.5173749423998,200
168,-209.11193032833847,-238.49356844728737,200
169,-100.89734348415782,-235.87107997946995,200
170,-100.96879894018356,-234.45825551267887,200
171,-304.6761642200176,-230.73753581015947,200
172,-602.371988472268,-223.14742465790133,200
173,-228.17242149558558,-214.89081686171482,200
174,-223.9480739770912,-217.30215391631984,200
175,-95.9662500887238,-218.44920326072705,200
176,-226.2632958643763,-219.70915118410275,200
177,-563.6098234638539,-213.6254351570324,200
178,-370.1071754345134,-217.5241732849323,200
179,17.519856278166777,-216.36894889084297,200
180,-254.26373032882256,-211.3869940093182,200
181,-314.3006889949255,-214.7262927456503,200
182,-94.70710715220541,-214.63284993012712,200
183,-99.8177501672275,-210.3728775185754,200
184,-99.26799749810193,-210.32699196280788,200
185,-113.55350582084331,-210.42563385779715,200
186,-1238.0776839535436,-220.37155728763048,200
187,-1238.9509441304485,-227.73468099699733,200
188,-1332.003416500234,-238.75088150441957,200
189,-1181.657769531565,-247.14598332441784,200
190,-103.11507381924972,-247.10263566614182,200
191,-891.3054152389622,-253.77701930543094,200
192,-106.5291110617847,-253.74906115419483,200
193,-97.59060828341234,-249.95722771230382,200
194,-105.61078550400292,-250.00903469177032,200
195,-215.5430766273722,-252.35620311467648,200
196,-104.68737646885363,-251.2133534860153,200
197,-94.7161293628266,-248.68412174599308,200
198,18.420757182159672,-247.45009955563881,200
199,17.756284811361844,-247.45323903246035,200
