Year,Entity,Sector,Oil Consumption - KTOE
1991,Cyprus,Overall,163.27434221840068
1992,Cyprus,Overall,187.71616509028374
1993,Cyprus,Overall,196.69886500429922
1994,Cyprus,Overall,194.461573516767
1995,Cyprus,Overall,206.2447377472055
1996,Cyprus,Overall,210.16180567497852
1997,Cyprus,Overall,214.68394668959587
1998,Cyprus,Overall,234.5983233018057
1999,Cyprus,Overall,245.92914015477214
2000,Cyprus,Overall,256.59865864144456
2001,Cyprus,Overall,257.8956405846947
2002,Cyprus,Overall,255.15233877901977
2003,Cyprus,Overall,271.5097162510748
2004,Cyprus,Overall,264.09688736027516
2005,Cyprus,Overall,296.46111779879624
2006,Cyprus,Overall,292.83420464316424
2007,Cyprus,Overall,297.9126999140155
2008,Cyprus,Overall,304.233981083405
2009,Cyprus,Overall,297.4402751504729
2010,Cyprus,Overall,288.0822269991401
2011,Cyprus,Overall,283.28801375752363
2012,Cyprus,Overall,263.88637145313845
2013,Cyprus,Overall,233.76489251934652
2014,Cyprus,Overall,234.47687016337056
2015,Cyprus,Overall,240.1602321582115
2016,Cyprus,Overall,261.95501289767844
2017,Cyprus,Overall,268.92159071367155
2018,Cyprus,Overall,266.07631126397246
2019,Cyprus,Overall,264.70479793637145
2020,Cyprus,Overall,225.53672398968186
2021,Cyprus,Overall,232.6053482373173
1965,Czechia,Overall,404.5304041272571
1966,Czechia,Overall,446.6206362854686
1967,Czechia,Overall,496.98306104901116
1968,Czechia,Overall,548.9264832330181
1969,Czechia,Overall,588.9332330180567
1970,Czechia,Overall,707.8989681857265
1971,Czechia,Overall,779.3612209802235
1972,Czechia,Overall,852.7172828890799
1973,Czechia,Overall,958.6785038693035
1974,Czechia,Overall,982.9845743766122
1975,Czechia,Overall,1084.6489251934652
1976,Czechia,Overall,1146.4442820292347
1977,Czechia,Overall,1199.409200343938
1978,Czechia,Overall,1241.216423043852
1979,Czechia,Overall,1261.477558039553
1980,Czechia,Overall,1173.2203783319
1981,Czechia,Overall,1156.9438521066209
1982,Czechia,Overall,1059.7048581255374
1983,Czechia,Overall,1037.6024935511607
1984,Czechia,Overall,1102.9947549441101
1985,Czechia,Overall,1082.268357695615
1986,Czechia,Overall,1039.4521066208083
1987,Czechia,Overall,1043.62932072227
1988,Czechia,Overall,1003.1118658641445
1989,Czechia,Overall,958.0109200343937
1990,Czechia,Overall,865.2247635425624
1991,Czechia,Overall,723.911263972485
1992,Czechia,Overall,693.7336199484092
1993,Czechia,Overall,702.3527944969904
1994,Czechia,Overall,726.3359415305245
1995,Czechia,Overall,818.5312123817712
1996,Czechia,Overall,856.7901977644024
1997,Czechia,Overall,817.05339638865
1998,Czechia,Overall,843.3830610490111
1999,Czechia,Overall,839.5501289767842
2000,Czechia,Overall,811.943981083405
2001,Czechia,Overall,859.1558039552881
2002,Czechia,Overall,831.9065348237318
2003,Czechia,Overall,890.2091143594153
2004,Czechia,Overall,980.9545485812554
2005,Czechia,Overall,1024.5667239896818
2006,Czechia,Overall,1010.407687016337
2007,Czechia,Overall,1003.3728288907997
2008,Czechia,Overall,1008.0125967325881
2009,Czechia,Overall,973.1640584694754
2010,Czechia,Overall,918.9461392949269
2011,Czechia,Overall,931.0579535683577
2012,Czechia,Overall,919.483147033534
2013,Czechia,Overall,877.3751504729149
2014,Czechia,Overall,928.4314703353397
2015,Czechia,Overall,901.7758383490972
2016,Czechia,Overall,846.7114359415305
2017,Czechia,Overall,991.3669389509888
2018,Czechia,Overall,998.3993981083405
2019,Czechia,Overall,1011.2082545141875
2020,Czechia,Overall,881.2074806534824
2021,Czechia,Overall,968.9102751504729
1965,Denmark,Overall,1058.6882201203782
1966,Denmark,Overall,1205.8271711092002
1967,Denmark,Overall,1275.2920894239037
1968,Denmark,Overall,1386.1736027515046
1969,Denmark,Overall,1666.6083404987103
1970,Denmark,Overall,1853.8226999140154
1971,Denmark,Overall,1830.1467755803956
1972,Denmark,Overall,1936.2981943250215
1973,Denmark,Overall,1790.3751504729148
1974,Denmark,Overall,1620.9292347377473
1975,Denmark,Overall,1602.0601891659503
1976,Denmark,Overall,1704.5600171969045
1977,Denmark,Overall,1702.3411006018916
1978,Denmark,Overall,1698.3761822871884
1979,Denmark,Overall,1624.5721410146173
1980,Denmark,Overall,1387.1992261392948
1981,Denmark,Overall,1306.684006878762
1982,Denmark,Overall,1125.6914015477214
1983,Denmark,Overall,1064.9411006018915
1984,Denmark,Overall,1052.7610490111779
1985,Denmark,Overall,1084.9304729148753
1986,Denmark,Overall,1070.603611349957
1987,Denmark,Overall,986.1134135855546
1988,Denmark,Overall,980.2104041272571
1989,Denmark,Overall,943.7929062768701
1990,Denmark,Overall,924.518056749785
1991,Denmark,Overall,937.9778159931212
1992,Denmark,Overall,929.6116938950988
1993,Denmark,Overall,973.2491831470335
1994,Denmark,Overall,1035.4091143594153
1995,Denmark,Overall,1078.071109200344
1996,Denmark,Overall,1169.979879621668
1997,Denmark,Overall,1128.799140154772
1998,Denmark,Overall,1092.0013757523645
1999,Denmark,Overall,1083.7707652622528
2000,Denmark,Overall,1053.6085984522786
2001,Denmark,Overall,1010.5406706792777
2002,Denmark,Overall,977.9321152192605
2003,Denmark,Overall,945.7292347377472
2004,Denmark,Overall,929.0110920034393
2005,Denmark,Overall,937.84135855546
2006,Denmark,Overall,955.4037833190026
2007,Denmark,Overall,961.1240326741186
2008,Denmark,Overall,942.2678417884781
2009,Denmark,Overall,847.4546861564919
2010,Denmark,Overall,855.6897334479794
2011,Denmark,Overall,828.2269131556319
2012,Denmark,Overall,768.4872742906276
2013,Denmark,Overall,765.4790627687016
2014,Denmark,Overall,769.0751160791058
2015,Denmark,Overall,777.604815133276
2016,Denmark,Overall,763.9162510748065
2017,Denmark,Overall,757.2273430782459
2018,Denmark,Overall,764.692312983663
2019,Denmark,Overall,766.6728718830611
2020,Denmark,Overall,635.3053310404127
2021,Denmark,Overall,637.8604471195185
1965,Eastern Africa (BP),Overall,595.5106620808255
1966,Eastern Africa (BP),Overall,623.9414445399829
1967,Eastern Africa (BP),Overall,664.8479363714531
1968,Eastern Africa (BP),Overall,686.1414445399828
1969,Eastern Africa (BP),Overall,756.5608770421323
1970,Eastern Africa (BP),Overall,788.3302665520207
1971,Eastern Africa (BP),Overall,855.1334479793637
1972,Eastern Africa (BP),Overall,874.7146173688736
1973,Eastern Africa (BP),Overall,922.8480223559759
1974,Eastern Africa (BP),Overall,913.4896474634565
1975,Eastern Africa (BP),Overall,888.6069647463456
1976,Eastern Africa (BP),Overall,911.9755803955288
1977,Eastern Africa (BP),Overall,924.2841788478073
1978,Eastern Africa (BP),Overall,910.7922613929493
1979,Eastern Africa (BP),Overall,920.4147033533964
1980,Eastern Africa (BP),Overall,943.4270851246775
1981,Eastern Africa (BP),Overall,908.3641444539983
1982,Eastern Africa (BP),Overall,866.7718400687876
1983,Eastern Africa (BP),Overall,912.5712295786759
1984,Eastern Africa (BP),Overall,901.7938950988822
1985,Eastern Africa (BP),Overall,952.9073946689597
1986,Eastern Africa (BP),Overall,985.7331040412726
1987,Eastern Africa (BP),Overall,988.8744282029235
1988,Eastern Africa (BP),Overall,1087.1516766981943
1989,Eastern Africa (BP),Overall,1118.0795356835768
1990,Eastern Africa (BP),Overall,1132.7170249355117
1991,Eastern Africa (BP),Overall,1124.256577815993
1992,Eastern Africa (BP),Overall,1125.496818572657
1993,Eastern Africa (BP),Overall,1153.5859845227858
1994,Eastern Africa (BP),Overall,1225.6968185726569
1995,Eastern Africa (BP),Overall,1279.6368013757524
1996,Eastern Africa (BP),Overall,1284.4574376612209
1997,Eastern Africa (BP),Overall,1332.553826311264
1998,Eastern Africa (BP),Overall,1343.701633705933
1999,Eastern Africa (BP),Overall,1434.8602751504727
2000,Eastern Africa (BP),Overall,1403.5998280309545
2001,Eastern Africa (BP),Overall,1484.6689595872742
2002,Eastern Africa (BP),Overall,1486.8190025795357
2003,Eastern Africa (BP),Overall,1556.8577815993121
2004,Eastern Africa (BP),Overall,1669.8870163370593
2005,Eastern Africa (BP),Overall,1745.2473774720552
2006,Eastern Africa (BP),Overall,1842.8883061049012
2007,Eastern Africa (BP),Overall,1894.5812553740327
2008,Eastern Africa (BP),Overall,1950.812467755804
2009,Eastern Africa (BP),Overall,2038.2475494411005
