"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Marshall Islands","MHL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Middle income","MIC","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1285300","1285460","1280680","1266020","1333000","1383870","1410850","1392460","1420490","1440160","1444080","1463920","1504380","1532640","1575600","1610440","1642200","1687180","1711640","1734160","1791070","1828160","1839620","1866640","1889720","1911370","1941730","1980190","1977630","2002670","","",
"North Macedonia","MKD","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","960","900","680","730","980","940","940","870","800","730","690","620","580","570","610","600","590","590","570","550","570","570","540","550","560","560","590","580","560","540","","",
"Mali","MLI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6200","6170","6180","6270","6330","6420","6790","6890","7310","7910","8100","7650","7850","8050","9100","9290","9410","9530","10150","9930","10670","10800","10950","11470","11580","12000","13530","13440","13630","14260","","",
"Malta","MLT","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","60","70","70","70","70","60","70","70","60","60","60","60","60","60","60","60","60","60","60","60","50","60","70","70","70","60","50","50","50","","",
"Myanmar","MMR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11070","11110","11320","11570","12080","12330","12580","12560","12830","13240","13690","13360","13390","14050","14900","14890","15480","16210","16210","16810","17290","17680","18300","19060","20140","20110","20610","22080","23040","23480","","",
"Middle East & North Africa (excluding high income)","MNA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54760","54750","57060","57290","57610","61400","65520","68560","73420","75480","81190","83690","86280","85440","89970","91640","95850","95230","95520","97740","97690","97040","97880","98240","97370","97080","97440","98660","99010","101710","","",
"Montenegro","MNE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170","160","130","120","120","140","140","150","140","140","120","140","130","120","160","170","180","180","170","160","160","150","160","150","150","160","160","160","150","150","","",
"Mongolia","MNG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8290","8450","8390","8320","8200","8510","8760","9200","9270","9440","9630","8750","8060","8110","7980","8420","9020","9820","9910","9930","8640","9530","10240","10550","11500","12250","12710","13250","13210","13890","","",
"Northern Mariana Islands","MNP","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8060","8130","8200","8300","8380","8450","8290","7480","8580","8140","7550","8520","9130","9290","8930","9570","8960","9370","10090","8920","9990","9310","9590","9770","9990","9410","8760","8710","9820","9470","","",
"Mauritania","MRT","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1840","1900","1810","1860","1820","1830","2040","2130","2290","2460","2660","2660","2590","2620","2610","2640","2780","2810","2520","2730","2880","2840","2940","3010","2980","3160","3290","3230","3220","3300","","",
"Mauritius","MUS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","240","240","240","260","260","270","270","280","290","300","240","280","280","270","270","260","270","260","250","250","260","260","240","250","220","240","240","240","240","","",
"Malawi","MWI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1270","1380","1390","1420","1090","1270","1370","1390","1450","1430","1520","1360","1650","1750","1780","1810","2000","2200","2430","2390","2790","2850","2880","2990","3410","3530","3390","3730","4480","4710","","",
"Malaysia","MYS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7040","6860","7210","7340","7420","7490","7440","8290","8790","8660","8810","8920","9590","10400","11090","11470","11500","11990","12710","11420","12960","13210","13500","12940","13520","13220","13300","13020","12370","13020","","",
"North America","NAC","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","280490","279270","284250","287160","296330","299930","309040","300700","294040","289080","286190","280710","283050","290750","293900","297130","298200","309680","295100","284190","291620","303910","298910","301600","302520","301060","306670","306650","310030","306450","","",
"Namibia","NAM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3440","3530","3470","3380","3380","3360","3220","3090","3380","3370","3730","3520","2980","3230","3440","3500","4340","3970","2980","4470","4110","6600","7200","3570","3010","2960","3230","3270","2850","2330","","",
"New Caledonia","NCL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3650","3810","4010","4180","4340","4570","4780","4930","5250","5500","5690","6000","6240","6500","6730","7090","7390","7740","8140","8440","8400","8620","9180","9590","10120","10480","11050","11540","12110","12590","","",
"Nigeria","NGA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20310","20760","21220","21820","22200","22390","23280","24040","25580","25910","26310","26650","26970","28110","28220","30270","30210","29710","30450","29850","32200","33230","34400","35430","35960","36060","38530","39680","40050","40280","","",
"Nicaragua","NIC","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2080","1720","1860","2010","1940","1830","1770","1860","1840","2060","2110","2110","2300","2490","2340","2530","2520","2520","2500","2580","2630","2880","3030","3010","3240","3330","3390","3370","3320","3470","","",
"Netherlands","NLD","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15800","15930","15990","16350","16040","15650","15590","15340","15020","14780","14320","13680","13140","12990","13630","13590","13540","12120","8620","8560","8350","8210","8290","8200","8500","8830","8600","8400","7960","8120","","",
"Norway","NOR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5030","4890","4350","4560","4650","4680","4690","4670","4720","4950","4720","4650","4860","4710","4860","4960","4620","4410","4010","3440","3330","3300","3290","3280","3330","3350","3380","3390","3360","3400","","",
"Nepal","NPL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4110","4150","4140","4200","4360","4520","4620","4690","4820","4770","4800","4840","4750","4740","4860","4900","5000","5050","5200","5490","5670","5930","6000","6280","6510","6540","6750","6750","7100","7120","","",
"Nauru","NRU","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","",
"New Zealand","NZL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15030","14790","14610","14510","14940","15340","14880","14810","14480","14880","14790","14930","15700","15980","15270","15390","15230","15140","14650","14470","14360","14540","14760","14740","14900","15180","15100","15150","15190","15070","","",
"OECD members","OED","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","869720","854340","846340","844540","859780","860770","876530","863560","842010","828220","832090","830440","818310","789830","821610","796250","806750","809640","762110","742290","732340","789110","786950","750110","761630","757870","753450","777490","773000","758720","","",
"Oman","OMN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","310","340","360","380","400","420","420","430","470","480","480","510","510","520","550","610","630","680","730","730","770","820","860","970","990","1030","1040","1030","1050","1060","","",
"Other small states","OSS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14050","13870","13570","13180","13270","13550","14100","13690","13530","13600","13760","14660","14370","11130","11660","12320","14360","13230","16780","13530","19220","23880","18280","14180","12320","12070","11940","13850","12240","10940","","",
"Pakistan","PAK","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27740","28110","29740","30560","33470","35810","36000","37140","37640","38990","39910","40340","41520","42690","44080","46380","47940","48040","50100","54370","53510","54510","53140","56510","57070","58250","60970","64620","65740","66670","","",
"Panama","PAN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1120","1110","1170","1200","1160","1160","1200","1120","1150","1120","1100","1210","1210","1250","1220","1230","1260","1220","1280","1310","1330","1340","1410","1440","1350","1330","1300","1300","1310","1310","","",
"Peru","PER","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6010","5830","5770","5970","6550","6940","7140","7280","7580","7900","8190","8190","8400","8480","8540","8550","8750","9160","9060","9580","9450","9620","9690","9750","9650","9900","9980","10240","9810","10150","","",
"Philippines","PHL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8960","8320","8700","9180","9380","9600","10450","11170","10190","10870","11040","11280","11080","12000","12550","12110","11580","12060","11460","11760","12760","12200","11960","12410","12930","12610","13360","14450","13780","14070","","",
"Palau","PLW","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2930","2940","2960","2960","2970","3210","3150","3260","3210","3360","3500","3580","3690","3710","3870","3700","3730","3620","3590","3610","3600","3550","3590","3590","3650","3740","3570","3630","3770","3660","","",
"Poland","POL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24620","23750","22790","23340","23550","24020","24010","24400","23030","22650","22970","22800","22320","22960","23040","23850","24200","25170","24050","20780","21560","21250","21680","20800","20290","20500","21420","21500","21400","21680","","",
"Pre-demographic dividend","PRE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","209070","211320","215460","220780","282590","285560","284760","287590","301580","300310","305480","300010","312850","327250","328020","342220","332450","344670","349570","347610","357380","361890","369330","376150","378120","382470","397250","395090","399230","403160","","",
"Puerto Rico","PRI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4510","4750","4840","4980","5060","4330","3650","3140","2850","2480","2090","2200","2230","2310","2370","2460","2440","2340","2410","2330","2310","2290","2340","2270","2280","2250","2280","2380","2330","2430","","",
"Portugal","PRT","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4020","3920","3830","3730","3690","3820","3920","3870","4020","3990","4000","3700","4110","3810","3940","3770","3620","3790","3690","3410","3360","3090","3100","3110","3240","3230","3170","3270","2950","2980","","",
"Paraguay","PRY","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12680","10570","8940","7590","6100","6470","6030","6090","6180","6430","6290","7280","7170","7810","7060","7530","7520","8500","7820","8000","8740","9160","9210","9930","10180","10020","10130","10950","10080","10440","","",
"West Bank and Gaza","PSE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Pacific island small states","PSS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","550","550","550","600","610","640","640","640","620","610","580","590","600","570","600","590","580","610","620","600","600","620","630","630","460","480","470","500","490","530","","",
"Post-demographic dividend","PST","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","815130","800080","783890","774680","789570","788740","799360","785990","758910","746250","749800","750230","740820","708980","739670","710170","718960","720360","679280","656040","645810","708040","700000","662920","679570","674930","663710","688210","684490","666680","","",
"French Polynesia","PYF","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","110","120","150","160","140","140","140","140","150","140","150","160","170","180","210","330","370","390","410","440","450","480","530","560","610","630","620","650","","",
"Romania","ROU","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18070","12940","13260","13100","11640","11790","11810","11350","10360","9720","10520","10250","9280","9910","11050","11130","10110","10140","9230","8670","9190","9110","8380","8580","8310","8530","8630","8890","8950","8940","","",
"Russian Federation","RUS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105590","99750","91050","83090","69730","64560","61060","56720","52380","50370","51670","54340","54270","55000","50790","50750","50940","51980","56580","54980","53340","56050","54920","55230","57350","57100","59570","60310","60930","61740","","",
"Rwanda","RWA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","880","900","870","840","800","700","750","790","830","900","930","980","1040","1130","1200","1280","1390","1470","1560","1600","1700","1640","1700","1750","1720","1980","1910","1940","1890","1890","","",
"South Asia","SAS","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198590","203970","210090","215050","224370","231750","237750","244040","248880","254940","252200","256880","253280","261100","269470","282590","294640","304260","313850","323010","331930","342500","338670","342580","347880","353400","353930","363520","371730","370460","","",
"Saudi Arabia","SAU","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5150","5380","5610","5500","5310","4840","5040","5290","5460","5480","5720","5870","6030","6210","6460","6340","6500","6840","6350","6240","6540","7020","7280","7830","7870","8310","8380","8170","8070","8250","","",
"Sudan","SDN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17160","17680","19030","20030","21170","21480","22510","23180","24440","24880","26360","23730","25190","25710","26070","27170","25620","27200","26870","27450","25970","25990","27360","27790","27730","27900","29270","28890","29270","29020","","",
"Senegal","SEN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3780","3880","3940","4050","4110","4110","4340","4230","4130","4480","4960","4570","4220","3840","4420","4560","4690","4350","4620","4650","4970","5080","4760","5010","4910","4860","5370","5490","5360","5650","","",
"Singapore","SGP","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","230","1860","3490","5130","6780","8420","8620","8820","9030","9240","9510","9200","8880","8580","8280","7950","7730","7490","7250","6990","6750","7110","7420","7740","8060","8390","8780","9180","9550","9940","","",
"Solomon Islands","SLB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","","",
"Sierra Leone","SLE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","920","910","930","940","950","940","510","500","480","460","440","630","680","1060","1180","1110","1660","1580","1120","1240","1020","1180","1570","1460","1580","1700","1610","1510","1320","1300","","",
"El Salvador","SLV","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1240","1280","1300","1270","1230","1150","1340","1360","1220","1290","1160","1240","1200","1210","1300","1440","1390","1490","1570","1480","1490","1450","1420","1280","1210","1250","1200","1240","1160","1170","","",
"San Marino","SMR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6730","5710","5010","5710","6390","6580","6730","6870","6740","6690","6750","6910","7000","7070","7160","7310","6850","6380","6370","6370","6420","6440","6520","6540","6550","6530","6460","6370","6320","6190","","",
"Serbia","SRB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5430","4940","4040","3930","3930","4450","4560","4860","4540","4160","3750","4280","4260","4070","5220","4950","4700","4980","4470","5070","4260","4380","4880","4890","4140","3910","4260","3950","3480","3950","","",
"Sub-Saharan Africa (excluding high income)","SSA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264520","267560","271230","272620","335110","338340","341360","343780","360410","358320","362820","356740","372450","384700","386230","402820","396150","411440","420760","416670","433910","442540","445920","448970","450270","456550","470930","473120","475840","476850","","",
"South Sudan","SSD","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13610","14030","15110","15930","16810","17060","17880","18420","19440","19790","20990","18840","20010","20420","20690","21560","20250","21540","21260","21710","20490","20510","22210","21620","21910","22160","22810","21650","23070","18940","","",
"Sub-Saharan Africa","SSF","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","264530","267570","271240","272630","335120","338350","341370","343790","360420","358330","362830","356750","372460","384710","386240","402830","396160","411450","420770","416670","433910","442540","445920","448970","450270","456550","470930","473120","475840","476850","","",
"Small states","SST","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16420","16290","16000","15650","15750","16180","16790","16400","16210","16330","16450","17360","17170","14020","14620","15120","17110","15990","19690","16380","22090","26770","21250","17220","15210","15020","14830","16720","15170","13930","","",
"Sao Tome and Principe","STP","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","20","20","20","20","","",
"Suriname","SUR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170","160","180","170","170","180","190","190","190","200","210","210","200","200","240","200","240","210","270","260","260","260","260","230","270","270","280","290","240","280","","",
"Slovak Republic","SVK","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3970","2980","2720","2450","2810","2900","3130","3020","2820","2310","2570","2760","2750","2790","2970","2840","3170","2970","2870","2630","2460","2140","2030","1940","2010","1940","2050","1950","2020","2020","","",
"Slovenia","SVN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1120","1010","910","880","910","850","800","860","850","820","860","870","850","860","820","820","820","830","830","810","820","830","820","790","790","800","810","810","810","810","","",
"Sweden","SWE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6070","5840","5950","6140","6030","5870","6040","6020","5970","5810","5840","5560","5510","5500","5540","5420","5390","5280","5450","5210","5430","5190","5110","5140","5350","5440","5460","5660","5440","5640","","",
"Eswatini","SWZ","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","420","440","450","380","390","400","400","400","400","380","370","340","350","380","370","390","350","390","380","360","400","390","390","400","390","370","360","380","380","400","","",
"Sint Maarten (Dutch part)","SXM","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0","0","0","0","0","0","0","0","0","","",
"Syrian Arab Republic","SYR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3740","3630","3670","3560","3810","4100","4160","4210","4360","4310","4220","3890","4250","4580","4740","5280","5620","5640","5200","4830","4010","4440","4230","3520","3380","3190","3090","2740","2620","3190","","",
"Turks and Caicos Islands","TCA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5960","8100","8390","8780","9110","9430","10780","10850","11070","11850","13050","11050","11990","12750","13250","14080","14360","15190","15550","15700","16770","17660","18610","19170","19970","21490","23170","23680","25220","25920","","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","423350","432340","442290","435820","453990","500750","531840","502740","514330","531340","528490","529360","552500","562500","583410","593770","609530","626140","640930","662960","676060","687690","704700","719420","734660","751670","758130","765820","764100","773580","","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","301010","279970","255160","239550","217170","207550","198840","195530","184800","179260","180940","182260","187270","186080","185960","188010","191340","193120","197460","192450","194230","200370","200370","203940","205920","207060","214350","218860","217460","222240","","",
"Togo","TGO","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1080","1030","970","960","950","900","940","1050","1240","1100","1170","1060","1190","1240","1110","1550","1320","1180","1290","1390","1400","1680","1500","1650","1540","1770","1740","1730","1720","1790","","",
"Thailand","THA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14430","14840","15680","16900","17020","16450","16700","16170","16160","17030","16080","16560","17340","18840","18480","17900","18090","20010","19580","21620","22620","22210","22440","22270","21210","19820","21070","22680","21350","21580","","",
"Tajikistan","TJK","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1860","1750","1560","1320","1260","1210","1120","1160","1040","920","920","950","1010","1010","1070","1100","1240","1270","1450","1550","1570","1590","1700","1790","1860","1940","1950","1980","1990","2030","","",
