"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Botswana","BWA","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4600","4410","4280","4170","4320","4630","5430","5140","4620","4510","4320","5410","5590","1940","2210","2760","3800","2760","7250","2620","8440","10690","4390","3890","2520","2210","1840","3540","2390","1530","","",
"Central African Republic","CAF","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8040","8160","8170","8190","10620","10660","11690","11760","12770","11530","13060","11040","9840","12500","11120","11630","11670","11800","12450","10060","11170","11740","10230","10860","10610","10750","11660","10850","11110","9940","","",
"Canada","CAN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40220","39950","40460","40230","42280","43620","45930","43670","40360","37140","35450","34780","36080","36650","38770","39860","35670","39900","40190","37020","37420","40040","42150","41750","41190","41150","40240","40940","42760","41500","","",
"Central Europe and the Baltics","CEB","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86850","73820","67850","65740","64990","64130","66100","65790","61980","59940","62830","63600","60900","62300","65410","65500","64480","66200","63850","55660","56660","57550","56140","55100","54530","55760","56670","56910","56940","57340","","",
"Switzerland","CHE","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2840","2820","2790","2740","2750","2730","2710","2630","2630","2550","2550","2590","2480","2470","2490","2540","2560","2520","2590","2550","2560","2510","2460","2480","2450","2440","2450","2440","2410","2420","","",
"Channel Islands","CHI","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4650","4640","4840","5050","5350","5660","5940","6150","6220","6480","6570","6510","6580","6330","6870","6550","6760","7270","8040","7960","8210","7660","7670","7200","6800","6840","6510","6540","6590","6770","","",
"China","CHN","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","295770","303320","309200","301010","314550","358190","384120","356010","364990","380660","375420","377910","396770","400790","416780","427310","440230","449070","464320","475730","488160","497300","509380","522600","534100","549330","552360","548720","544840","552060","","",
"Cote d'Ivoire","CIV","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2590","2650","2700","2790","2860","2930","2780","2950","2990","2930","3030","3250","3580","3440","2870","3570","3350","3480","3210","3100","3110","3270","3330","3560","3170","3230","3830","3250","3210","3090","","",
"Cameroon","CMR","Nitrous oxide emissions (thousand metric tons of CO2 equivalent)","EN.ATM.NOXE.KT.CE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5360","5320","5350","5370","61150","61130","61260","61420","61950","61890","62580","62180","62130","62810","62080","62850","62280","62130","61960","61820","62100","62030","61970","62150","62060","62140","62240","62200","62230","62160","","",
