,ServiceNo,Operator,max_distance,max_StopSequence,WD_FirstBus,WD_LastBus
398,77,TTS,18.8,49,0600,2300
399,78,TTS,24.9,57,0545,0020
400,78A,TTS,5.9,16,0716,0825
401,79,TTS,24.0,55,0600,2215
402,79A,TTS,12.3,28,2230,2300
403,7A,SBST,13.6,35,0600,2245
404,7B,SBST,10.7,25,0600,2250
405,8,SBST,18.0,43,0530,2300
406,80,SBST,23.1,58,0515,2330
407,800,SBST,6.9,19,0530,0055
408,803,SBST,2.9,8,0520,0055
409,804,SBST,8.3,22,0520,0055
410,805,SBST,6.9,19,0520,0055
411,806,SBST,5.2,14,0520,0055
412,807,SBST,11.8,35,0520,0055
413,807A,SBST,3.9,13,0602,0859
414,80A,SBST,12.3,31,0557,0914
415,81,SBST,33.9,68,0530,2330
416,811,SBST,15.9,43,0520,0055
417,811A,SBST,4.6,14,1703,1958
418,812,SBST,11.2,31,0530,0055
419,82,GAS,17.5,43,0515,0030
420,825,SMRT,5.7,15,0630,2045
421,83,GAS,13.5,31,0520,0036
422,84,GAS,8.9,19,0530,0035
423,85,GAS,18.3,33,0530,2330
424,850E,SBST,25.9,26,0710,0750
425,851,SBST,24.0,58,0530,2340
426,851e,SBST,21.7,24,0600,2200
427,852,SBST,23.8,52,0520,2330
428,853,SMRT,19.6,46,0540,2330
429,853C,SMRT,31.3,77,Doesnt run,Doesnt run
430,854,SMRT,22.7,56,0535,2340
431,854e,SMRT,22.3,33,0638,0717
432,855,SMRT,26.4,59,0535,2330
433,856,SMRT,16.3,39,0530,2345
434,856A,SMRT,3.4,7,1751,1934
435,857,SMRT,43.3,71,0530,2330
436,857A,SMRT,7.6,17,0703,0715
437,858,SMRT,73.5,83,0515,2314
438,858A,SMRT,9.0,24,2324,0030
439,859,SMRT,16.9,48,0545,2400
440,859A,SMRT,5.1,16,0530,0055
441,859B,SMRT,5.0,15,0530,0055
442,85A,GAS,12.5,21,1806,1845
443,86,SBST,15.1,32,0515,2330
444,860,SBST,28.3,73,0530,2330
445,860A,SMRT,3.9,13,0600,0900
446,868E,SMRT,23.2,28,0730,0745
447,87,SBST,13.3,32,0530,2330
448,88,SBST,24.1,51,0530,2330
449,882,SMRT,8.9,24,0520,2345
450,882A,SMRT,2.3,7,1834,2030
451,883,SMRT,11.8,29,0530,0030
452,883B,SMRT,2.2,5,1954,2155
453,88A,SBST,9.7,27,0648,0703
454,88B,SBST,3.6,12,0721,0822
455,89,SBST,43.4,95,0530,2300
456,89A,SBST,13.0,36,0627,0742
457,89e,SBST,22.3,34,0650,0735
458,9,SBST,33.2,86,0530,2400
459,90,SBST,16.4,37,0600,2330
460,900,SMRT,4.9,14,0530,0100
461,900A,SMRT,6.3,18,0630,0830
462,901,SMRT,6.1,15,0530,0100
463,902,SMRT,1.1,3,0730,1000
464,903,SMRT,8.4,22,0520,0100
465,903M,SMRT,5.6,15,0600,0800
466,904,SMRT,8.0,19,0530,0100
467,90A,SBST,9.1,23,0608,0850
468,91,SBST,6.6,18,0630,2000
469,911,SMRT,11.8,28,0520,0100
470,912,SMRT,17.4,42,0530,0049
471,912A,SMRT,6.9,18,0535,0100
472,912B,SMRT,10.5,25,0530,0112
473,912M,SMRT,6.5,16,0600,1915
474,913,SMRT,12.9,33,0530,0100
475,913M,SMRT,10.7,27,0600,2300
476,92,SBST,11.8,36,0617,1924
477,920,SMRT,8.4,32,0530,0105
478,922,SMRT,9.1,28,0530,0105
479,925,SMRT,18.0,41,0600,2000
