,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,LoopDesc,StopSequence,BusStopCode,TotalDistance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus
380,22,SBST,2,TRUNK,75009.0,54009.0,No Loop,46,54009,17.4,0654,0023,0643,0027,0644,0024
381,21A,SBST,1,TRUNK,80089.0,7231.0,No Loop,9,07231,3.4,-,-,-,-,1706,1815
382,21,SBST,2,TRUNK,52499.0,77009.0,No Loop,65,77009,25.0,0647,0122,0658,0120,0658,0121
383,201,SBST,1,TRUNK,16009.0,16009.0,Pandan Gdns,39,16009,17.4,0613,0033,0610,0033,0608,0032
384,200A,SBST,1,TRUNK,11379.0,16009.0,Clementi Rd,23,16009,8.2,0911,0020,0020,0020,0019,0019
385,200,SBST,1,TRUNK,11379.0,11389.0,Clementi Rd,44,11389,16.0,0626,0014,0619,0020,0621,0020
386,20,SBST,1,TRUNK,75009.0,75009.0,Changi Business Pk Ave 3,43,75009,18.1,0631,0046,0627,0054,0625,0052
387,1N,SBST,1,NIGHT SERVICE,2099.0,59561.0,No Loop,67,59561,35.2,-,-,0125,0325,-,-
388,199,SBST,1,TRUNK,22009.0,22009.0,Nanyang Cres,27,22009,11.1,0644,0040,0642,0039,0711,0059
389,198A,SBST,1,TRUNK,22009.0,28459.0,No Loop,13,28459,4.7,1744,2043,1710,1923,1902,2123
390,198,SBST,2,TRUNK,10009.0,22009.0,No Loop,44,22009,20.8,0628,0048,0636,0045,0630,0045
391,197,SBST,2,TRUNK,28009.0,84009.0,No Loop,70,84009,32.5,0728,0124,0720,0123,0724,0122
392,196e,SBST,2,EXPRESS,3222.0,93041.0,No Loop,27,93041,13.5,1902,1926,-,-,-,-
393,196A,SBST,1,TRUNK,84009.0,3218.0,No Loop,34,03218,15.7,0724,1129,-,-,-,-
394,196,SBST,2,TRUNK,17009.0,84009.0,No Loop,66,84009,31.1,0727,0113,0719,0115,0712,0111
395,195A,SBST,1,TRUNK,2099.0,10169.0,C'wealth Ave,57,10169,22.7,0713,2029,-,-,-,-
396,195,SBST,1,TRUNK,2099.0,2089.0,C'wealth Ave,70,02089,28.6,0643,0104,0650,0102,0648,0055
397,194,SBST,1,TRUNK,22009.0,22009.0,Jln Ahmad Ibrahim,18,22009,9.0,0613,0019,0613,0015,0611,0015
398,193,SBST,2,TRUNK,25009.0,22009.0,No Loop,43,22009,16.2,0633,0038,0741,0036,0730,0039
399,192,SBST,2,TRUNK,25009.0,22009.0,No Loop,33,22009,13.0,0610,0032,0608,0030,0607,0030
400,191,SBST,1,TRUNK,11379.0,11379.0,Media Circle,20,11379,7.5,0659,2030,0656,2024,0654,2024
401,19,SBST,1,TRUNK,75009.0,75009.0,Airport Cargo Rd,60,75009,21.8,0642,2126,0634,2119,0634,2120
402,186,SBST,2,TRUNK,52499.0,3239.0,No Loop,46,03239,17.6,0640,0034,0635,0036,0633,0036
403,185,SBST,2,TRUNK,11379.0,22199.0,No Loop,37,22199,18.1,0642,2356,0656,2357,0655,2350
404,182M,SBST,1,TRUNK,24009.0,24009.0,Tuas Sth Ave 9,59,24009,29.1,1039,0028,1040,0031,1043,0037
405,182,SBST,1,TRUNK,24009.0,24009.0,Tuas Sth Ave 9,60,24009,29.9,0708,2315,0701,2317,0704,2323
406,181M,SBST,1,TRUNK,22009.0,22009.0,Jurong West St 23,18,22009,7.3,0712,0828,-,-,-,-
407,181,SBST,1,TRUNK,22009.0,22009.0,Jurong West Ave 3,18,22009,6.2,0533,0100,0542,0051,0545,0055
408,18,SBST,1,TRUNK,75019.0,75019.0,Bedok Nth Dr,47,75019,19.0,0602,0111,0605,0112,0635,0112
409,179A,SBST,1,TRUNK,22009.0,22009.0,Nanyang Dr,24,22009,9.6,0806,2026,-,-,-,-
410,179,SBST,1,TRUNK,22009.0,22009.0,Nanyang Dr,24,22009,9.6,0528,0035,0526,0037,0527,0055
411,175,SBST,2,TRUNK,80009.0,17009.0,No Loop,65,17009,24.8,0646,0047,0723,0044,0713,0037
412,174e,SBST,2,EXPRESS,10499.0,22009.0,No Loop,61,22009,28.9,1938,2029,-,-,-,-
413,174,SBST,2,TRUNK,10499.0,22009.0,No Loop,69,22009,28.8,0648,0103,0642,0114,0657,0057
414,170X,SBST,2,TRUNK,47711.0,45139.0,No Loop,8,45139,11.4,0603,0045,0559,0044,0556,0039
415,170A,SBST,1,TRUNK,1109.0,46069.0,No Loop,62,46069,23.5,0704,0052,0701,0054,0654,0053
416,170,SBST,2,TRUNK,46239.0,1109.0,No Loop,66,01109,34.0,0632,0210,0557,0158,0631,0140
417,168,SBST,2,TRUNK,46009.0,84009.0,No Loop,26,84009,30.0,0638,0032,0631,0030,0658,0024
418,166,SBST,2,TRUNK,17009.0,54009.0,No Loop,68,54009,28.8,0622,0112,0703,0130,0705,0112
419,165,SBST,2,TRUNK,17009.0,64009.0,No Loop,57,64009,23.7,0708,0113,0706,0115,0703,0116
420,163A,SBST,1,TRUNK,67009.0,67651.0,No Loop,17,67651,5.6,0004,0053,0006,0055,0004,0052
421,163,SBST,2,TRUNK,52009.0,67009.0,No Loop,47,67009,19.3,0548,0025,0636,0020,0654,0018
422,162M,SBST,1,TRUNK,55509.0,55509.0,Temasek Ave,97,55509,39.0,2036,0127,1559,0138,0630,0134
423,162,SBST,2,TRUNK,3239.0,55509.0,No Loop,52,55509,21.8,0637,2057,0632,1606,-,-
424,161,SBST,2,TRUNK,46009.0,64009.0,No Loop,25,64009,23.6,0643,0024,0650,0024,0652,0021
425,160A,SBST,1,TRUNK,28009.0,43671.0,No Loop,13,43671,4.5,0617,2038,-,-,-,-
426,160,SBST,1,TRUNK,28009.0,28009.0,Jln Jim Quee,84,28009,48.7,0645,0127,0639,0121,0639,0123
427,16,SBST,2,TRUNK,10009.0,84009.0,No Loop,45,84009,21.5,0625,0050,0652,0100,0653,0100
428,159B,SBST,1,TRUNK,54391.0,54481.0,No Loop,5,54481,1.6,0644,0833,-,-,-,-
429,159A,SBST,1,TRUNK,67009.0,54399.0,No Loop,25,54399,8.0,0657,1755,-,-,-,-
430,159,SBST,2,TRUNK,52009.0,67009.0,No Loop,40,67009,16.5,0638,0033,0633,0037,0630,0032
431,158A,SBST,1,TRUNK,81089.0,81081.0,Rhu Cross,27,81081,11.1,0723,1553,-,-,-,-
432,158,SBST,1,TRUNK,66009.0,66009.0,Rhu Cross,68,66009,25.4,0641,0048,0630,0046,0652,0047
433,157,SBST,2,TRUNK,22009.0,52009.0,No Loop,56,52009,24.7,0652,0104,0637,0104,0658,0103
434,156,SBST,2,TRUNK,17009.0,67009.0,No Loop,60,67009,26.0,0636,0035,0638,0034,0709,0034
435,155,SBST,2,TRUNK,84009.0,52009.0,No Loop,56,52009,22.0,0621,0038,0615,0033,0649,0033
436,154B,SBST,1,TRUNK,22009.0,12101.0,No Loop,32,12101,14.6,0700,0922,-,-,-,-
437,154A,SBST,1,TRUNK,21551.0,28091.0,No Loop,9,28091,31.9,0613,0830,-,-,-,-
438,154,SBST,2,TRUNK,82009.0,22009.0,No Loop,74,22009,33.8,0612,0053,0629,0051,0655,0052
439,153,SBST,2,TRUNK,64009.0,10009.0,No Loop,45,10009,20.5,0602,0044,0600,0045,0559,0043
440,151e,SBST,2,EXPRESS,16009.0,64009.0,No Loop,53,64009,25.7,1921,1952,-,-,-,-
441,151,SBST,2,TRUNK,16009.0,64009.0,No Loop,53,64009,25.7,0704,0003,0732,0004,0727,2359
442,150,SBST,1,TRUNK,82009.0,82009.0,Marine Terr,21,82009,7.8,0623,0002,0618,0004,0618,0002
443,14e,SBST,2,EXPRESS,9048.0,84219.0,No Loop,37,84219,19.2,1919,1943,-,-,-,-
444,14A,SBST,1,TRUNK,84009.0,9059.0,No Loop,50,09059,20.1,-,-,-,-,0917,1750
445,147e,SBST,2,EXPRESS,17009.0,4222.0,No Loop,15,04222,14.0,0658,2246,0647,2249,0647,2250
446,147A,SBST,1,TRUNK,64009.0,5019.0,No Loop,47,05019,16.3,0832,1116,-,-,-,-
447,147,SBST,2,TRUNK,17009.0,64009.0,No Loop,71,64009,27.2,0631,0127,0626,0129,0642,0131
448,145A,SBST,1,TRUNK,10209.0,14249.0,No Loop,7,14249,1.8,0724,0925,-,-,-,-
449,145,SBST,2,TRUNK,11379.0,52009.0,No Loop,54,52009,21.5,0644,0039,0641,0105,0711,0035
450,142A,SBST,1,TRUNK,52009.0,60209.0,Potong Pasir Ave 1,16,60209,5.6,0655,0806,-,-,-,-
451,142,SBST,1,TRUNK,52009.0,52009.0,Potong Pasir Ave 1,21,52009,8.4,0603,0028,0604,0034,0604,0036
452,141,SBST,2,TRUNK,52009.0,80009.0,No Loop,26,80009,9.6,0638,0022,0637,0022,0638,0020
453,140,SBST,1,TRUNK,80009.0,80009.0,St. Wilfred Rd,23,80009,8.4,0616,2359,0613,0004,0614,2359
454,14,SBST,2,TRUNK,17009.0,84009.0,No Loop,74,84009,33.7,0640,0113,0635,0113,0644,0112
455,13A,SBST,1,TRUNK,54019.0,53231.0,No Loop,6,53231,2.1,0630,0946,-,-,-,-
456,139M,SBST,1,TRUNK,52009.0,52009.0,Jln Bahagia,16,52009,7.9,0604,2329,0611,2329,0609,2328
457,139,SBST,2,TRUNK,10009.0,52009.0,No Loop,41,52009,17.0,0617,0054,0628,0057,0624,0054
458,138B,SBST,1,TRUNK,54009.0,55121.0,No Loop,9,55121,2.8,1845,2109,-,-,-,-
459,138A,SBST,1,TRUNK,54009.0,48131.0,Mandai Lake Rd,30,48131,13.5,-,-,0912,1252,0901,1306
460,138,SBST,1,TRUNK,54009.0,54009.0,Mandai Lake Rd,59,54009,27.3,0650,0050,0647,0050,0706,0051
461,137A,SBST,1,TRUNK,84031.0,84451.0,No Loop,11,84451,4.3,0736,0826,-,-,-,-
462,137,SBST,2,TRUNK,94009.0,80289.0,No Loop,48,80289,18.9,0620,0035,0620,0034,0621,0038
463,135A,SBST,1,TRUNK,54009.0,93201.0,Siglap Rd,41,93201,16.5,2348,0021,2345,0036,2351,0038
464,135,SBST,1,TRUNK,54009.0,54009.0,Siglap Rd,82,54009,33.3,0645,0025,0641,0024,0658,0027
465,134,SBST,1,TRUNK,80289.0,80289.0,Marine Terr,39,80289,14.1,0615,0042,0608,0044,0607,0036
466,133,SBST,2,TRUNK,3239.0,54009.0,No Loop,43,54009,17.8,0654,0058,0648,0102,0647,0059
467,132,SBST,2,TRUNK,10009.0,64009.0,No Loop,55,64009,23.6,0646,0056,0653,0055,0652,0050
468,131M,SBST,1,TRUNK,10009.0,10009.0,Bt Purmei Ave,10,10009,4.2,0703,2004,-,-,-,-
469,131A,SBST,1,TRUNK,52499.0,3217.0,No Loop,31,03217,11.5,0731,0818,-,-,-,-
470,131,SBST,2,TRUNK,10009.0,52499.0,No Loop,48,52499,20.1,0636,0101,0639,0103,0652,0108
471,130A,SBST,1,TRUNK,54009.0,53189.0,No Loop,7,53189,3.1,1348,2333,0730,1729,0738,1659
472,130,SBST,2,TRUNK,3239.0,54009.0,No Loop,39,54009,16.1,0637,0029,0658,0028,0658,0027
473,13,SBST,2,TRUNK,94009.0,55509.0,No Loop,65,55509,24.7,0648,0033,0650,0034,0648,0032
474,129,SBST,2,TRUNK,52499.0,75019.0,No Loop,35,75019,20.7,0618,0037,0615,0035,0615,0032
475,128,SBST,2,TRUNK,3239.0,55009.0,No Loop,44,55009,19.4,1949,2004,-,-,-,-
476,127A,SBST,1,TRUNK,75009.0,75281.0,No Loop,5,75281,1.5,2353,0051,2355,0052,2353,0051
477,127,SBST,1,TRUNK,75009.0,75009.0,Tampines Ind Ave 5,21,75009,8.5,0551,0010,0552,0010,0552,0011
478,125A,SBST,1,TRUNK,81081.0,60219.0,No Loop,9,60219,2.4,0737,0829,-,-,-,-
479,125,SBST,1,TRUNK,52499.0,52499.0,Sims Dr,51,52499,17.9,0629,2400,0630,2359,0630,2359
480,124,SBST,2,TRUNK,14009.0,52499.0,No Loop,44,52499,17.6,0619,0106,0617,0100,0615,0101
481,123M,SBST,1,TRUNK,14009.0,14009.0,Tiong Bahru Rd,25,14009,10.6,0641,0043,0633,0047,0642,0045
482,123,SBST,2,TRUNK,14539.0,10009.0,No Loop,45,10009,19.8,0648,0044,0642,0050,0654,0047
483,122,SBST,1,TRUNK,10499.0,10499.0,C'wealth Dr,40,10499,16.6,0629,0026,0630,0027,0628,0023
484,121,SBST,1,TRUNK,10499.0,10499.0,Telok Blangah Rise,40,10499,15.3,0628,0031,0623,0031,0633,0030
485,120,SBST,1,TRUNK,10499.0,10499.0,Telok Blangah Hts,49,10499,19.7,0628,0042,0623,0038,0636,0038
